DateTime;KM_SW_FR_Summe [liter];BM_SW_FR_Summe [liter];__WNW150_Summe [mm];BG_SW_FR_Summe [mm];KG_SW_FR_Summe [mm]
16.10.22 15:50:05;0;0;0;0,1;0,1
16.10.22 16:00:05;0;0;0;0,1;0,1
16.10.22 16:10:05;0;0;0;0,1;0,1
16.10.22 16:20:05;0;0;0;0,1;0,1
16.10.22 16:30:05;0;0;0;0,1;0,1
16.10.22 16:40:05;0;0;0;0,1;0,1
16.10.22 16:50:05;0;0;0;0,1;0,1
16.10.22 17:00:05;0;0;0;0,1;0,1
16.10.22 17:10:05;0;0;0;0,1;0,1
16.10.22 17:20:05;0;0;0;0,1;0,1
16.10.22 17:30:05;0;0;0;0,1;0,1
16.10.22 17:40:05;0;0;0;0,1;0,1
16.10.22 17:50:05;0;0;0;0,1;0,1
16.10.22 18:00:05;0;0;0;0,1;0,1
16.10.22 18:10:05;0;0;0;0,1;0,1
16.10.22 18:20:05;0;0;0;0,1;0,1
16.10.22 18:30:05;0;0;0;0,1;0,1
16.10.22 18:40:05;0;0;0;0,1;0,1
16.10.22 18:50:05;0;0;0;0,1;0,1
16.10.22 19:00:05;0;0;0;0,1;0,1
16.10.22 19:10:05;0;0;0;0,1;0,1
16.10.22 19:20:05;0;0;0;0,1;0,1
16.10.22 19:30:05;0;0;0;0,1;0,1
16.10.22 19:40:05;0;0;0;0,1;0,1
16.10.22 19:50:05;0;0;0;0,1;0,1
16.10.22 20:00:05;0;0;0;0,1;0,1
16.10.22 20:10:05;0;0;0;0,1;0,1
16.10.22 20:20:05;0;0;0;0,1;0,1
16.10.22 20:30:06;0;0;0;0,1;0,1
16.10.22 20:40:05;0;0;0;0,1;0,1
16.10.22 20:50:05;0;0;0;0,1;0,1
16.10.22 21:00:05;0;0;0;0,1;0,1
16.10.22 21:10:06;0;0;0;0,1;0,1
16.10.22 21:20:05;0;0;0;0,1;0,1
16.10.22 21:30:05;0;0;0;0,1;0,1
16.10.22 21:40:05;0;0;0;0,1;0,1
16.10.22 21:50:05;0;0;0;0,1;0,1
16.10.22 22:00:05;0;0;0;0,1;0,1
16.10.22 22:10:05;0;0;0;0,1;0,1
16.10.22 22:20:05;0;0;0;0,1;0,1
16.10.22 22:30:05;0;0;0;0,1;0,1
16.10.22 22:40:05;0;0;0;0,1;0,1
16.10.22 22:50:05;0;0;0;0,1;0,1
16.10.22 23:00:05;0;0;0;0,1;0,1
16.10.22 23:10:05;0;0;0;0,1;0,1
16.10.22 23:20:05;0;0;0;0,1;0,1
16.10.22 23:30:05;0;0;0;0,1;0,1
16.10.22 23:40:06;0;0;0;0,1;0,1
16.10.22 23:50:05;0;0;0;0,1;0,1
17.10.22 00:00:05;0;0;0;0,1;0,1
17.10.22 00:10:05;0;0;0;0;0
17.10.22 00:20:05;0;0;0;0;0
17.10.22 00:30:05;0;0;0;0;0
17.10.22 00:40:05;0;0;0;0;0
17.10.22 00:50:05;0;0;0;0;0,1
17.10.22 01:00:05;0;0;0;0;0,1
17.10.22 01:10:05;0;0;0;0;0,1
17.10.22 01:20:05;0;0;0;0;0,1
17.10.22 01:30:05;0;0;0;0;0,1
17.10.22 01:40:05;0;0;0;0;0,1
17.10.22 01:50:05;0;0;0;0;0,1
17.10.22 02:00:05;0;0;0;0;0,1
17.10.22 02:10:05;0;0;0;0;0,1
17.10.22 02:20:05;0;0;0;0;0,1
17.10.22 02:30:05;0;0;0;0;0,1
17.10.22 02:40:05;0;0;0;0;0,1
17.10.22 02:50:05;0;0;0;0;0,1
17.10.22 03:00:05;0;0;0;0;0,1
17.10.22 03:10:05;0;0;0;0;0,1
17.10.22 03:20:05;0;0;0;0;0,1
17.10.22 03:30:05;0;0;0;0;0,1
17.10.22 03:40:05;0;0;0;0;0,1
17.10.22 03:50:05;0;0;0;0;0,1
17.10.22 04:00:05;0;0;0;0;0,1
17.10.22 04:10:05;0;0;0;0;0,1
17.10.22 04:20:05;0;0;0;0;0,1
17.10.22 04:30:05;0;0;0;0;0,1
17.10.22 04:40:05;0;0;0;0;0,1
17.10.22 04:50:05;0;0;0;0;0,1
17.10.22 05:00:05;0;0;0;0;0,1
17.10.22 05:10:05;0;0;0;0;0,1
17.10.22 05:20:05;0;0;0;0;0,1
17.10.22 05:30:05;0;0;0;0;0,1
17.10.22 05:40:05;0;0;0;0;0,1
17.10.22 05:50:05;0;0;0;0,1;0,1
17.10.22 06:00:05;0;0;0;0,1;0,1
17.10.22 06:10:05;0;0;0;0,1;0,1
17.10.22 06:20:05;0;0;0;0,1;0,1
17.10.22 06:30:05;0;0;0;0,1;0,1
17.10.22 06:40:05;0;0;0;0,1;0,1
17.10.22 06:50:05;0;0;0;0,1;0,1
17.10.22 07:00:05;0;0;0;0,1;0,1
17.10.22 07:10:05;0;0;0;0,1;0,1
17.10.22 07:20:05;0;0;0;0,1;0,1
17.10.22 07:30:05;0;0;0;0,1;0,1
17.10.22 07:40:05;0;0;0;0,1;0,1
17.10.22 07:50:05;0;0;0;0,1;0,1
17.10.22 08:00:05;0;0;0;0,1;0,1
17.10.22 08:10:05;0;0;0;0,1;0,1
17.10.22 08:20:05;0;0;0;0,1;0,1
17.10.22 08:30:05;0;0;0;0,1;0,1
17.10.22 08:40:05;0;0;0;0,1;0,1
17.10.22 08:50:05;0;0;0;0,1;0,1
17.10.22 09:00:05;0;0;0;0,1;0,1
17.10.22 09:10:06;0;0;0;0,1;0,1
17.10.22 09:20:05;0;0;0;0,1;0,1
17.10.22 09:30:05;0;0;0;0,1;0,1
17.10.22 09:40:05;0;0;0;0,1;0,1
17.10.22 09:50:05;0;0;0;0,1;0,1
17.10.22 10:00:05;0;0;0;0,1;0,1
17.10.22 10:10:05;0;0;0;0,1;0,1
17.10.22 10:20:05;0;0;0;0,1;0,1
17.10.22 10:30:05;0;0;0;0,1;0,1
17.10.22 10:40:05;0;0;0;0,1;0,1
17.10.22 10:50:05;0;0;0;0,1;0,1
17.10.22 11:00:05;0;0;0;0,1;0,1
17.10.22 11:10:05;0;0;0;0,1;0,1
17.10.22 11:20:05;0;0;0;0,1;0,1
17.10.22 11:30:05;0;0;0;0,1;0,1
17.10.22 11:40:05;0;0;0;0,1;0,1
17.10.22 11:50:05;0;0;0;0,1;0,1
17.10.22 12:00:05;0;0;0;0,1;0,1
17.10.22 12:10:05;0;0;0;0,1;0,1
17.10.22 12:20:05;0;0;0;0,1;0,1
17.10.22 12:30:05;0;0;0;0,1;0,1
17.10.22 12:40:05;0;0;0;0,1;0,1
17.10.22 12:50:05;0;0;0;0,1;0,1
17.10.22 13:00:05;0;0;0;0,1;0,1
17.10.22 13:10:05;0;0;0;0,1;0,1
17.10.22 13:20:05;0;0;0;0,1;0,1
17.10.22 13:30:05;0;0;0;0,1;0,1
17.10.22 13:40:05;0;0;0;0,1;0,1
17.10.22 13:50:05;0;0;0;0,1;0,1
17.10.22 14:00:05;0;0;0;0,1;0,1
17.10.22 14:10:05;0;0;0;0,1;0,1
17.10.22 14:20:05;0;0;0;0,1;0,1
17.10.22 14:30:05;0;0;0;0,1;0,1
17.10.22 14:40:05;0;0;0;0,1;0,1
17.10.22 14:50:05;0;0;0;0,1;0,1
17.10.22 15:00:05;0;0;0;0,1;0,1
17.10.22 15:10:05;0;0;0;0,1;0,1
17.10.22 15:20:05;0;0;0;0,1;0,1
17.10.22 15:30:05;0;0;0;0,1;0,1
17.10.22 15:40:05;0;0;0;0,1;0,1
17.10.22 15:50:05;0;0;0;0,1;0,1
17.10.22 16:00:05;0;0;0;0,1;0,1
17.10.22 16:10:05;0;0;0;0,1;0,1
17.10.22 16:20:05;0;0;0;0,1;0,1
17.10.22 16:30:05;0;0;0;0,1;0,1
17.10.22 16:40:05;0;0;0;0,1;0,1
17.10.22 16:50:05;0;0;0;0,1;0,1
17.10.22 17:00:05;0;0;0;0,1;0,1
17.10.22 17:10:05;0;0;0;0,1;0,1
17.10.22 17:20:06;0;0;0;0,1;0,1
17.10.22 17:30:05;0;0;0;0,1;0,1
17.10.22 17:40:05;0;0;0;0,1;0,1
17.10.22 17:50:05;0;0;0;0,1;0,1
17.10.22 18:00:05;0;0;0;0,1;0,1
17.10.22 18:10:05;0;0;0;0,1;0,1
17.10.22 18:20:05;0;0;0;0,1;0,1
17.10.22 18:30:05;0;0;0;0,1;0,1
17.10.22 18:40:05;0;0;0;0,1;0,1
17.10.22 18:50:05;0;0;0;0,1;0,1
17.10.22 19:00:05;0;0;0;0,1;0,1
17.10.22 19:10:05;0;0;0;0,1;0,1
17.10.22 19:20:05;0;0;0;0,1;0,1
17.10.22 19:30:05;0;0;0;0,1;0,1
17.10.22 19:40:05;0;0;0;0,1;0,1
17.10.22 19:50:05;0;0;0;0,1;0,1
17.10.22 20:00:05;0;0;0;0,1;0,1
17.10.22 20:10:05;0;0;0;0,1;0,1
17.10.22 20:20:05;0;0;0;0,1;0,1
17.10.22 20:30:05;0;0;0;0,1;0,1
17.10.22 20:40:05;0;0;0;0,1;0,1
17.10.22 20:50:05;0;0;0;0,1;0,1
17.10.22 21:00:05;0;0;0;0,1;0,1
17.10.22 21:10:05;0;0;0;0,1;0,1
17.10.22 21:20:05;0;0;0;0,1;0,1
17.10.22 21:30:05;0;0;0;0,1;0,1
17.10.22 21:40:05;0;0;0;0,1;0,1
17.10.22 21:50:05;0;0;0;0,1;0,1
17.10.22 22:00:05;0;0;0;0,1;0,1
17.10.22 22:10:05;0;0;0;0,1;0,1
17.10.22 22:20:05;0;0;0;0,1;0,1
18.10.22 00:10:06;0;0;0;0,2;0,1
18.10.22 00:20:05;0;0;0;0,2;0,1
18.10.22 00:30:05;0;0;0;0,2;0,1
18.10.22 00:40:05;0;0;0;0,2;0,1
18.10.22 00:50:05;0;0;0;0,2;0,1
18.10.22 01:00:05;0;0;0;0,2;0,1
18.10.22 01:10:05;0;0;0;0,2;0,1
18.10.22 01:20:05;0;0;0;0,2;0,1
18.10.22 01:30:05;0;0;0;0,2;0,1
18.10.22 01:40:05;0;0;0;0,2;0,1
18.10.22 01:50:05;0;0;0;0,2;0,1
18.10.22 02:00:05;0;0;0;0,2;0,1
18.10.22 02:10:06;0;0;0;0,2;0,1
18.10.22 02:20:05;0;0;0;0,2;0,1
18.10.22 02:30:05;0;0;0;0,2;0,1
18.10.22 02:40:05;0;0;0;0,2;0,1
18.10.22 02:50:05;0;0;0;0,2;0,1
18.10.22 03:00:05;0;0;0;0,2;0,1
18.10.22 03:10:05;0;0;0;0,2;0,1
18.10.22 03:20:05;0;0;0;0,2;0,1
18.10.22 03:30:05;0;0;0;0,2;0,1
18.10.22 03:40:05;0;0;0;0,2;0,1
18.10.22 03:50:05;0;0;0;0,2;0,1
18.10.22 04:00:05;0;0;0;0,2;0,1
18.10.22 04:10:05;0;0;0;0,2;0,1
18.10.22 04:20:05;0;0;0;0,2;0,1
18.10.22 04:30:05;0;0;0;0,2;0,1
18.10.22 04:40:05;0;0;0;0,2;0,1
18.10.22 04:50:05;0;0;0;0,2;0,1
18.10.22 05:00:05;0;0;0;0,2;0,1
18.10.22 05:10:05;0;0;0;0,2;0,2
18.10.22 05:20:05;0;0;0;0,2;0,2
18.10.22 05:30:05;0;0;0;0,2;0,2
18.10.22 05:40:05;0;0;0;0,2;0,2
18.10.22 05:50:05;0;0;0;0,2;0,2
18.10.22 06:00:05;0;0;0;0,2;0,2
18.10.22 06:10:05;0;0;0;0,2;0,2
18.10.22 06:20:05;0;0;0;0,2;0,2
18.10.22 06:30:05;0;0;0;0,2;0,2
18.10.22 06:40:05;0;0;0;0,2;0,2
18.10.22 06:50:05;0;0;0;0,2;0,2
18.10.22 07:00:05;0;0;0;0,2;0,2
18.10.22 07:10:05;0;0;0;0,2;0,2
18.10.22 07:20:05;0;0;0;0,2;0,2
18.10.22 07:30:05;0;0;0;0,2;0,2
18.10.22 07:40:05;0;0;0;0,2;0,2
18.10.22 07:50:05;0;0;0;0,2;0,2
18.10.22 08:00:05;0;0;0;0,2;0,2
18.10.22 08:10:05;0;0;0;0,2;0,2
18.10.22 08:20:05;0;0;0;0,2;0,2
18.10.22 08:30:05;0;0;0;0,2;0,2
18.10.22 08:40:05;0;0;0;0,2;0,2
18.10.22 08:50:05;0;0;0;0,2;0,2
18.10.22 09:00:05;0;0;0;0,2;0,2
18.10.22 09:10:05;0;0;0;0,2;0,2
18.10.22 09:20:05;0;0;0;0,2;0,2
18.10.22 09:30:05;0;0;0;0,2;0,2
18.10.22 09:40:05;0;0;0;0,2;0,2
18.10.22 09:50:05;0;0;0;0,2;0,2
18.10.22 10:00:05;0;0;0;0,2;0,2
18.10.22 10:10:05;0;0;0;0,2;0,2
18.10.22 10:20:05;0;0;0;0,2;0,2
18.10.22 10:30:05;0;0;0;0,2;0,2
18.10.22 10:40:05;0;0;0;0,2;0,2
18.10.22 10:50:05;0;0;0;0,2;0,2
18.10.22 11:00:05;0;0;0;0,2;0,2
18.10.22 11:10:05;0;0;0;0,2;0,2
18.10.22 11:20:05;0;0;0;0,2;0,2
18.10.22 11:30:05;0;0;0;0,2;0,2
18.10.22 11:40:05;0;0;0;0,2;0,2
18.10.22 11:50:05;0;0;0;0,2;0,2
18.10.22 12:00:05;0;0;0;0,2;0,2
18.10.22 12:10:05;0;0;0;0,2;0,2
18.10.22 12:20:05;0;0;0;0,2;0,2
18.10.22 12:30:05;0;0;0;0,2;0,2
18.10.22 12:40:05;0;0;0;0,2;0,2
18.10.22 12:50:05;0;0;0;0,2;0,2
18.10.22 13:00:05;0;0;0;0,2;0,2
18.10.22 13:10:05;0;0;0;0,2;0,2
18.10.22 13:20:05;0;0;0;0,2;0,2
18.10.22 13:30:05;0;0;0;0,2;0,2
18.10.22 13:40:05;0;0;0;0,2;0,2
18.10.22 13:50:06;0;0;0;0,2;0,2
18.10.22 14:00:05;0;0;0;0,2;0,2
18.10.22 14:10:05;0;0;0;0,2;0,2
18.10.22 14:20:05;0;0;0;0,2;0,2
18.10.22 14:30:05;0;0;0;0,2;0,2
18.10.22 14:40:05;0;0;0;0,2;0,2
18.10.22 14:50:05;0;0;0;0,2;0,2
18.10.22 15:00:05;0;0;0;0,2;0,2
18.10.22 15:10:05;0;0;0;0,2;0,2
18.10.22 15:20:05;0;0;0;0,2;0,2
18.10.22 15:30:05;0;0;0;0,2;0,2
18.10.22 15:40:05;0;0;0;0,2;0,2
18.10.22 15:50:05;0;0;0;0,2;0,2
18.10.22 16:00:05;0;0;0;0,2;0,2
18.10.22 16:10:05;0;0;0;0,2;0,2
18.10.22 16:20:05;0;0;0;0,2;0,2
18.10.22 16:30:05;0;0;0;0,2;0,2
18.10.22 16:40:05;0;0;0;0,2;0,2
18.10.22 16:50:05;0;0;0;0,2;0,2
18.10.22 17:00:05;0;0;0;0,2;0,2
18.10.22 17:10:06;0;0;0;0,2;0,2
18.10.22 17:20:05;0;0;0;0,2;0,2
18.10.22 17:30:05;0;0;0;0,2;0,2
18.10.22 17:40:05;0;0;0;0,2;0,2
18.10.22 17:50:05;0;0;0;0,2;0,2
18.10.22 18:00:05;0;0;0;0,2;0,2
18.10.22 18:10:05;0;0;0;0,3;0,2
18.10.22 18:20:05;0;0;0;0,3;0,2
18.10.22 18:30:05;0;0;0;0,3;0,2
18.10.22 18:40:05;0;0;0;0,3;0,2
18.10.22 18:50:05;0;0;0;0,3;0,2
18.10.22 19:00:05;0;0;0;0,3;0,2
18.10.22 19:10:05;0;0;0;0,3;0,2
18.10.22 19:20:05;0;0;0;0,3;0,2
18.10.22 19:30:05;0;0;0;0,3;0,2
18.10.22 19:40:05;0;0;0;0,3;0,2
18.10.22 19:50:05;0;0;0;0,3;0,2
18.10.22 20:00:05;0;0;0;0,3;0,2
18.10.22 20:10:06;0;0;0;0,3;0,2
18.10.22 20:20:05;0;0;0;0,3;0,2
18.10.22 20:30:05;0;0;0;0,3;0,2
18.10.22 20:40:05;0;0;0;0,3;0,2
18.10.22 20:50:05;0;0;0;0,3;0,2
18.10.22 21:00:05;0;0;0;0,3;0,2
18.10.22 21:10:05;0;0;0;0,3;0,2
18.10.22 21:20:05;0;0;0;0,3;0,2
18.10.22 21:30:05;0;0;0;0,3;0,2
18.10.22 21:40:05;0;0;0;0,3;0,2
18.10.22 21:50:05;0;0;0;0,3;0,2
18.10.22 22:00:05;0;0;0;0,3;0,2
18.10.22 22:10:05;0;0;0;0,3;0,2
18.10.22 22:20:05;0;0;0;0,3;0,2
18.10.22 22:30:05;0;0;0;0,3;0,2
18.10.22 22:40:05;0;0;0;0,3;0,2
18.10.22 22:50:05;0;0;0;0,3;0,2
18.10.22 23:00:05;0;0;0;0,3;0,2
18.10.22 23:10:05;0;0;0;0,3;0,2
18.10.22 23:20:05;0;0;0;0,3;0,2
18.10.22 23:30:05;0;0;0;0,3;0,2
18.10.22 23:40:05;0;0;0;0,3;0,2
18.10.22 23:50:05;0;0;0;0,3;0,2
19.10.22 00:00:05;0;0;0;0,3;0,2
19.10.22 00:10:05;0;0;0;0;0
19.10.22 00:20:05;0;0;0;0;0
19.10.22 00:30:05;0;0;0;0;0
19.10.22 00:40:05;0;0;0;0;0
19.10.22 00:50:05;0;0;0;0;0
19.10.22 01:00:05;0;0;0;0;0
19.10.22 01:10:05;0;0;0;0;0
19.10.22 01:20:05;0;0;0;0;0
19.10.22 01:30:05;0;0;0;0;0
19.10.22 01:40:05;0;0;0;0;0
19.10.22 01:50:05;0;0;0;0;0
19.10.22 02:00:05;0;0;0;0;0
19.10.22 02:10:05;0;0;0;0;0
19.10.22 02:20:05;0;0;0;0;0
19.10.22 02:30:05;0;0;0;0;0
19.10.22 02:40:05;0;0;0;0;0
19.10.22 02:50:05;0;0;0;0;0
19.10.22 03:00:05;0;0;0;0;0
19.10.22 03:10:05;0;0;0;0;0
19.10.22 03:20:05;0;0;0;0;0
19.10.22 03:30:05;0;0;0;0;0
19.10.22 03:40:05;0;0;0;0;0
19.10.22 03:50:05;0;0;0;0;0
19.10.22 04:00:05;0;0;0;0;0
19.10.22 04:10:05;0;0;0;0;0
19.10.22 04:20:06;0;0;0;0;0
19.10.22 04:30:05;0;0;0;0;0
19.10.22 04:40:05;0;0;0;0;0
19.10.22 04:50:05;0;0;0;0;0
19.10.22 05:00:05;0;0;0;0;0
19.10.22 05:10:05;0;0;0;0;0
19.10.22 05:20:05;0;0;0;0;0
19.10.22 05:30:05;0;0;0;0;0
19.10.22 05:40:05;0;0;0;0;0
19.10.22 05:50:05;0;0;0;0;0
19.10.22 06:00:05;0;0;0;0;0
19.10.22 06:10:05;0;0;0;0;0
19.10.22 06:20:05;0;0;0;0;0
19.10.22 06:30:05;0;0;0;0;0
19.10.22 06:40:05;0;0;0;0;0
19.10.22 06:50:05;0;0;0;0;0
19.10.22 07:00:05;0;0;0;0;0
19.10.22 07:10:05;0;0;0;0;0
19.10.22 07:20:05;0;0;0;0;0
19.10.22 07:30:05;0;0;0;0;0
19.10.22 07:40:05;0;0;0;0;0
19.10.22 07:50:05;0;0;0;0;0
19.10.22 08:00:05;0;0;0;0;0
19.10.22 08:10:05;0;0;0;0;0
19.10.22 08:20:05;0;0;0;0;0
19.10.22 08:30:05;0;0;0;0;0
19.10.22 08:40:05;0;0;0;0;0
19.10.22 08:50:05;0;0;0;0;0
19.10.22 09:00:05;0;0;0;0;0
19.10.22 09:10:05;0;0;0;0;0
19.10.22 09:20:05;0;0;0;0;0
19.10.22 09:30:05;0;0;0;0;0
19.10.22 09:40:05;0;0;0;0;0
19.10.22 09:50:05;0;0;0;0;0,1
19.10.22 10:00:05;0;0;0;0;0,1
19.10.22 10:10:05;0;0;0;0;0,1
19.10.22 10:20:05;0;0;0;0;0,1
19.10.22 10:30:05;0;0;0;0;0,1
19.10.22 10:40:05;0;0;0;0;0,1
19.10.22 10:50:05;0;0;0;0;0,1
19.10.22 11:00:05;0;0;0;0;0,1
19.10.22 11:10:05;0;0;0;0;0,1
19.10.22 11:20:05;0;0;0;0;0,1
19.10.22 11:30:05;0;0;0;0;0,1
19.10.22 11:40:05;0;0;0;0;0,1
19.10.22 11:50:05;0;0;0;0;0,1
19.10.22 12:00:05;0;0;0;0;0,1
19.10.22 12:10:05;0;0;0;0;0,1
19.10.22 12:20:05;0;0;0;0;0,1
19.10.22 12:30:06;0;0;0;0;0,1
19.10.22 12:40:05;0;0;0;0;0,1
19.10.22 12:50:05;0;0;0;0;0,1
19.10.22 13:00:05;0;0;0;0;0,1
19.10.22 13:10:05;0;0;0;0;0,1
19.10.22 13:20:05;0;0;0;0;0,1
19.10.22 13:30:05;0;0;0;0;0,1
19.10.22 13:40:05;0;0;0;0,1;0,1
19.10.22 13:50:05;0;0;0;0,1;0,1
19.10.22 14:00:05;0;0;0;0,1;0,1
19.10.22 14:10:05;0;0;0;0,1;0,1
19.10.22 14:20:05;0;0;0;0,1;0,1
19.10.22 14:30:05;0;0;0;0,1;0,1
19.10.22 14:40:05;0;0;0;0,1;0,1
19.10.22 14:50:05;0;0;0;0,1;0,1
19.10.22 15:00:05;0;0;0;0,1;0,1
19.10.22 15:10:05;0;0;0;0,1;0,1
19.10.22 15:20:05;0;0;0;0,1;0,1
19.10.22 15:30:05;0;0;0;0,1;0,1
19.10.22 15:40:05;0;0;0;0,1;0,1
19.10.22 15:50:05;0;0;0;0,1;0,1
19.10.22 16:00:05;0;0;0;0,1;0,1
19.10.22 16:10:05;0;0;0;0,1;0,1
19.10.22 16:20:05;0;0;0;0,1;0,1
19.10.22 16:30:05;0;0;0;0,1;0,1
19.10.22 16:40:05;0;0;0;0,1;0,1
19.10.22 16:50:05;0;0;0;0,1;0,1
19.10.22 17:00:05;0;0;0;0,1;0,1
19.10.22 17:10:06;0;0;0;0,1;0,1
19.10.22 17:20:05;0;0;0;0,1;0,1
19.10.22 17:30:05;0;0;0;0,1;0,1
19.10.22 17:40:05;0;0;0;0,1;0,1
19.10.22 17:50:05;0;0;0;0,1;0,1
19.10.22 18:00:05;0;0;0;0,1;0,1
19.10.22 18:10:05;0;0;0;0,1;0,1
19.10.22 18:20:05;0;0;0;0,1;0,1
19.10.22 18:30:05;0;0;0;0,1;0,1
19.10.22 18:40:05;0;0;0;0,1;0,1
19.10.22 18:50:05;0;0;0;0,1;0,1
19.10.22 19:00:05;0;0;0;0,1;0,1
19.10.22 19:10:05;0;0;0;0,1;0,1
19.10.22 19:20:05;0;0;0;0,1;0,1
19.10.22 19:30:05;0;0;0;0,1;0,1
19.10.22 19:40:05;0;0;0;0,1;0,1
19.10.22 19:50:05;0;0;0;0,1;0,1
19.10.22 20:00:05;0;0;0;0,1;0,1
19.10.22 20:10:05;0;0;0;0,1;0,1
19.10.22 20:20:05;0;0;0;0,1;0,1
19.10.22 20:30:05;0;0;0;0,1;0,1
19.10.22 20:40:06;0;0;0;0,1;0,1
19.10.22 20:50:05;0;0;0;0,1;0,1
19.10.22 21:00:05;0;0;0;0,1;0,1
19.10.22 21:10:05;0;0;0;0,1;0,1
19.10.22 21:20:05;0;0;0;0,1;0,1
19.10.22 21:30:05;0;0;0;0,1;0,1
